Date,Action,Contracts,Price,Total Held,Avg Entry,P/L Pts,P/L USD,Reason
2022-01-04,BUY,1,16261.25,1,,,,
2022-01-11,SELL ALL,1,15824.5,0,16261.25,-436.75,-8735.0,IBS Exit
2022-01-13,BUY,1,15501.75,1,,,,
2022-01-14,SELL ALL,1,15616.75,0,15501.75,115.0,2300.0,IBS Exit
2022-01-18,BUY,1,15239.5,1,,,,
2022-01-24,SELL ALL,1,14502.75,0,15239.5,-736.75,-14735.0,IBS Exit
2022-01-25,BUY,1,13922.25,1,,,,
2022-01-28,SELL ALL,1,14430.25,0,13922.25,508.0,10160.0,IBS Exit
2022-02-02,BUY,1,14863.25,1,,,,
2022-02-08,SELL ALL,1,14745.75,0,14863.25,-117.5,-2350.0,IBS Exit
2022-02-10,BUY,1,14695.5,1,,,,
2022-02-15,SELL ALL,1,14581.75,0,14695.5,-113.75,-2275.0,IBS Exit
2022-02-17,BUY,1,14156.75,1,,,,
2022-02-24,SELL ALL,1,13911.0,0,14156.75,-245.75,-4915.0,IBS Exit
2022-03-01,BUY,1,14028.5,1,,,,
2022-03-09,SELL ALL,1,13774.0,0,14028.5,-254.5,-5090.0,IBS Exit
2022-03-11,BUY,1,13301.75,1,,,,
2022-03-15,SELL ALL,1,13443.25,0,13301.75,141.5,2830.0,IBS Exit
2022-03-23,BUY,1,14463.75,1,,,,
2022-03-24,SELL ALL,1,14763.0,0,14463.75,299.25,5985.0,IBS Exit
2022-03-31,BUY,1,14917.25,1,,,,
2022-04-04,SELL ALL,1,15159.5,0,14917.25,242.25,4845.0,IBS Exit
2022-04-05,BUY,1,14861.5,1,,,,
2022-04-25,SELL ALL,1,13528.0,0,14861.5,-1333.5,-26670.0,IBS Exit
2022-04-26,BUY,1,12815.5,1,,,,
2022-05-02,SELL ALL,1,13051.25,0,12815.5,235.75,4715.0,IBS Exit
2022-05-05,BUY,1,12897.0,1,,,,
2022-05-17,SELL ALL,1,12573.75,0,12897.0,-323.25,-6465.0,IBS Exit
2022-05-18,BUY,1,11892.5,1,,,,
2022-05-23,SELL ALL,1,12056.0,0,11892.5,163.5,3270.0,IBS Exit
2022-06-01,BUY,1,12548.0,1,,,,
2022-06-02,SELL ALL,1,12896.75,0,12548.0,348.75,6975.0,IBS Exit
2022-06-03,BUY,1,12549.5,1,,,,
2022-06-24,SELL ALL,1,12132.75,0,12549.5,-416.75,-8335.0,IBS Exit
2022-06-27,BUY,1,12074.75,1,,,,
2022-07-01,SELL ALL,1,11610.5,0,12074.75,-464.25,-9285.0,IBS Exit
2022-07-11,BUY,1,11900.5,1,,,,
2022-07-14,SELL ALL,1,11807.25,0,11900.5,-93.25,-1865.0,IBS Exit
2022-07-18,BUY,1,11916.25,1,,,,
2022-07-19,SELL ALL,1,12320.0,0,11916.25,403.75,8075.0,IBS Exit
2022-07-22,BUY,1,12429.0,1,,,,
2022-07-28,SELL ALL,1,12924.25,0,12429.0,495.25,9905.0,IBS Exit
2022-08-08,BUY,1,13213.0,1,,,,
2022-08-10,SELL ALL,1,13381.0,0,13213.0,168.0,3360.0,IBS Exit
2022-08-11,BUY,1,13346.75,1,,,,
2022-08-12,SELL ALL,1,13580.0,0,13346.75,233.25,4665.0,IBS Exit
2022-08-19,BUY,1,13250.0,1,,,,
2022-08-25,SELL ALL,1,13144.75,0,13250.0,-105.25,-2105.0,IBS Exit
2022-08-26,BUY,1,12559.0,1,,,,
2022-09-01,SELL ALL,1,12292.25,0,12559.0,-266.75,-5335.0,IBS Exit
2022-09-02,BUY,1,12130.25,1,,,,
2022-09-09,SELL ALL,1,12590.5,0,12130.25,460.25,9205.0,IBS Exit
2022-09-13,BUY,1,12127.0,1,,,,
2022-09-14,SELL ALL,1,12250.0,0,12127.0,123.0,2460.0,IBS Exit
2022-09-15,BUY,1,11973.0,1,,,,
2022-09-16,SELL ALL,1,11960.75,0,11973.0,-12.25,-245.0,IBS Exit
2022-09-21,BUY,1,11668.0,1,,,,
2022-10-04,SELL ALL,1,11645.25,0,11668.0,-22.75,-455.0,IBS Exit
2022-10-06,BUY,1,11505.75,1,,,,
2022-10-17,SELL ALL,1,11134.0,0,11505.75,-371.75,-7435.0,IBS Exit
2022-10-19,BUY,1,11151.0,1,,,,
2022-10-21,SELL ALL,1,11378.0,0,11151.0,227.0,4540.0,IBS Exit
2022-10-26,BUY,1,11474.25,1,,,,
2022-10-28,SELL ALL,1,11625.5,0,11474.25,151.25,3025.0,IBS Exit
2022-11-01,BUY,1,11320.5,1,,,,
2022-11-07,SELL ALL,1,11014.0,0,11320.5,-306.5,-6130.0,IBS Exit
2022-11-09,BUY,1,10842.75,1,,,,
2022-11-10,SELL ALL,1,11675.25,0,10842.75,832.5,16650.0,IBS Exit
2022-11-14,BUY,1,11768.5,1,,,,
2022-11-22,SELL ALL,1,11739.25,0,11768.5,-29.25,-585.0,IBS Exit
2022-11-25,BUY,1,11786.75,1,,,,
2022-11-30,SELL ALL,1,12077.0,0,11786.75,290.25,5805.0,IBS Exit
2022-12-05,BUY,1,11813.5,1,,,,
2022-12-12,SELL ALL,1,11697.75,0,11813.5,-115.75,-2315.0,IBS Exit
2022-12-13,BUY,1,11951.25,1,,,,
2022-12-30,SELL ALL,1,11041.75,0,11951.25,-909.5,-18190.0,IBS Exit
2023-01-03,BUY,1,10941.0,1,,,,
