trades,win_rate,total_pts,total_usd,avg_pts,entry,exit
118,82.20338983050848,90127.5,1802550.0,763.792372881356,0.35,0.94
118,82.20338983050848,89394.0,1787880.0,757.5762711864406,0.34,0.94
118,82.20338983050848,88781.25,1775625.0,752.3834745762712,0.33,0.94
118,82.20338983050848,85352.75,1707055.0,723.3283898305085,0.32,0.94
110,81.81818181818183,82356.75,1647135.0,748.6977272727273,0.35,0.95
116,81.89655172413794,81814.25,1636285.0,705.2952586206897,0.31,0.94
110,81.81818181818183,81635.75,1632715.0,742.1431818181818,0.33,0.95
110,81.81818181818183,81623.25,1632465.0,742.0295454545454,0.34,0.95
115,82.6086956521739,78313.25,1566265.0,680.9847826086957,0.3,0.94
110,81.81818181818183,78207.25,1564145.0,710.975,0.32,0.95
114,82.45614035087719,77233.0,1544660.0,677.4824561403509,0.29,0.94
108,81.48148148148148,74224.25,1484485.0,687.261574074074,0.31,0.95
113,83.1858407079646,73373.0,1467460.0,649.3185840707964,0.28,0.94
113,83.1858407079646,71576.25,1431525.0,633.4181415929204,0.27,0.94
107,82.2429906542056,70723.25,1414465.0,660.9649532710281,0.3,0.95
106,82.0754716981132,70314.25,1406285.0,663.3419811320755,0.29,0.95
112,83.03571428571429,68510.5,1370210.0,611.7008928571429,0.26,0.94
106,82.0754716981132,66552.5,1331050.0,627.8537735849056,0.28,0.95
161,85.09316770186336,65257.0,1305140.0,405.3229813664596,0.35,0.9
111,82.88288288288288,65198.25,1303965.0,587.3716216216217,0.25,0.94
161,85.09316770186336,64818.5,1296370.0,402.5993788819876,0.33,0.9
161,85.09316770186336,64755.75,1295115.0,402.20962732919253,0.34,0.9
106,82.0754716981132,64751.75,1295035.0,610.8655660377359,0.27,0.95
152,85.52631578947368,64687.25,1293745.0,425.57401315789474,0.33,0.91
152,85.52631578947368,64624.5,1292490.0,425.1611842105263,0.34,0.91
152,85.52631578947368,64572.25,1291445.0,424.8174342105263,0.35,0.91
