trades,win_rate,total_pts,total_usd,avg_pts,entry,exit
43,86.04651162790698,22937.25,458745.0,533.4244186046511,0.35,0.87
42,85.71428571428571,22832.0,456640.0,543.6190476190476,0.34,0.87
42,85.71428571428571,21853.75,437075.0,520.327380952381,0.33,0.87
42,85.71428571428571,21484.75,429695.0,511.5416666666667,0.32,0.87
22,77.27272727272727,21380.5,427610.0,971.8409090909091,0.35,0.95
22,77.27272727272727,21275.25,425505.0,967.0568181818181,0.34,0.95
22,77.27272727272727,19796.0,395920.0,899.8181818181819,0.33,0.95
25,80.0,19754.25,395085.0,790.17,0.35,0.94
25,80.0,19649.0,392980.0,785.96,0.34,0.94
41,85.36585365853658,19606.25,392125.0,478.2012195121951,0.31,0.87
36,86.11111111111111,18922.75,378455.0,525.6319444444445,0.35,0.9
36,86.11111111111111,18817.5,376350.0,522.7083333333334,0.34,0.9
46,84.78260869565217,18771.75,375435.0,408.08152173913044,0.35,0.86
40,85.0,18769.75,375395.0,469.24375,0.3,0.87
45,84.44444444444444,18666.5,373330.0,414.81111111111113,0.34,0.86
22,77.27272727272727,18361.25,367225.0,834.6022727272727,0.32,0.95
20,85.0,18250.75,365015.0,912.5375,0.22,0.95
50,82.0,18212.75,364255.0,364.255,0.35,0.84
42,85.71428571428571,18212.0,364240.0,433.6190476190476,0.35,0.88
25,80.0,18169.75,363395.0,726.79,0.33,0.94
49,81.63265306122449,18107.5,362150.0,369.5408163265306,0.34,0.84
41,85.36585365853658,18106.75,362135.0,441.6280487804878,0.34,0.88
48,83.33333333333334,18093.0,361860.0,376.9375,0.35,0.85
36,86.11111111111111,18077.25,361545.0,502.1458333333333,0.35,0.89
47,82.97872340425532,17987.75,359755.0,382.718085106383,0.34,0.85
36,86.11111111111111,17972.0,359440.0,499.22222222222223,0.34,0.89
39,84.61538461538461,17951.5,359030.0,460.29487179487177,0.29,0.87
36,86.11111111111111,17839.25,356785.0,495.53472222222223,0.33,0.9
38,81.57894736842105,17812.0,356240.0,468.7368421052632,0.25,0.87
45,84.44444444444444,17688.25,353765.0,393.0722222222222,0.33,0.86
57,77.19298245614034,17593.0,351860.0,308.64912280701753,0.35,0.72
57,77.19298245614034,17593.0,351860.0,308.64912280701753,0.35,0.71
57,77.19298245614034,17518.25,350365.0,307.3377192982456,0.35,0.7
34,85.29411764705883,17509.0,350180.0,514.9705882352941,0.35,0.91
38,81.57894736842105,17498.5,349970.0,460.4868421052632,0.26,0.87
56,76.78571428571429,17498.0,349960.0,312.4642857142857,0.33,0.72
56,76.78571428571429,17498.0,349960.0,312.4642857142857,0.33,0.71
56,76.78571428571429,17487.75,349755.0,312.28125,0.34,0.72
56,76.78571428571429,17487.75,349755.0,312.28125,0.34,0.71
36,86.11111111111111,17470.25,349405.0,485.28472222222223,0.32,0.9
56,76.78571428571429,17423.25,348465.0,311.1294642857143,0.33,0.7
56,76.78571428571429,17413.0,348260.0,310.94642857142856,0.34,0.7
34,85.29411764705883,17403.75,348075.0,511.875,0.34,0.91
20,75.0,17340.75,346815.0,867.0375,0.25,0.95
44,84.0909090909091,17319.25,346385.0,393.6193181818182,0.32,0.86
38,84.21052631578947,17163.25,343265.0,451.6644736842105,0.27,0.87
54,77.77777777777779,17144.0,342880.0,317.48148148148147,0.31,0.72
54,77.77777777777779,17144.0,342880.0,317.48148148148147,0.31,0.71
49,81.63265306122449,17129.25,342585.0,349.5765306122449,0.33,0.84
41,85.36585365853658,17128.5,342570.0,417.7682926829268,0.33,0.88
20,85.0,17116.5,342330.0,855.825,0.21,0.95
54,77.77777777777779,17069.25,341385.0,316.09722222222223,0.31,0.7
55,76.36363636363637,17051.5,341030.0,310.0272727272727,0.35,0.74
55,76.36363636363637,17045.5,340910.0,309.91818181818184,0.32,0.72
55,76.36363636363637,17045.5,340910.0,309.91818181818184,0.32,0.71
47,82.97872340425532,17009.5,340190.0,361.90425531914894,0.33,0.85
36,86.11111111111111,16993.75,339875.0,472.0486111111111,0.33,0.89
55,76.36363636363637,16970.75,339415.0,308.5590909090909,0.32,0.7
54,75.92592592592592,16956.5,339130.0,314.00925925925924,0.33,0.74
31,80.64516129032258,16952.25,339045.0,546.8467741935484,0.35,0.92
54,75.92592592592592,16946.25,338925.0,313.81944444444446,0.34,0.74
50,78.0,16931.25,338625.0,338.625,0.29,0.71
50,78.0,16931.25,338625.0,338.625,0.29,0.72
56,76.78571428571429,16881.5,337630.0,301.45535714285717,0.35,0.73
50,78.0,16856.5,337130.0,337.13,0.29,0.7
20,75.0,16850.25,337005.0,842.5125,0.24,0.95
31,80.64516129032258,16847.0,336940.0,543.4516129032259,0.34,0.92
47,78.72340425531915,16811.75,336235.0,357.6968085106383,0.27,0.71
47,78.72340425531915,16811.75,336235.0,357.6968085106383,0.27,0.72
55,76.36363636363637,16786.5,335730.0,305.2090909090909,0.33,0.73
36,83.33333333333334,16780.25,335605.0,466.11805555555554,0.22,0.87
55,76.36363636363637,16776.25,335525.0,305.02272727272725,0.34,0.73
48,81.25,16760.25,335205.0,349.171875,0.32,0.84
41,85.36585365853658,16759.5,335190.0,408.7682926829268,0.32,0.88
52,76.92307692307693,16753.0,335060.0,322.1730769230769,0.3,0.72
52,76.92307692307693,16753.0,335060.0,322.1730769230769,0.3,0.71
47,78.72340425531915,16737.0,334740.0,356.1063829787234,0.27,0.7
25,80.0,16735.0,334700.0,669.4,0.32,0.94
52,76.92307692307693,16678.25,333565.0,320.7355769230769,0.3,0.7
51,78.43137254901961,16659.5,333190.0,326.65686274509807,0.35,0.83
38,84.21052631578947,16648.0,332960.0,438.10526315789474,0.28,0.87
46,82.6086956521739,16640.5,332810.0,361.75,0.32,0.85
36,86.11111111111111,16624.75,332495.0,461.7986111111111,0.32,0.89
52,76.92307692307693,16602.5,332050.0,319.27884615384613,0.31,0.74
44,77.27272727272727,16583.0,331660.0,376.8863636363636,0.25,0.7
44,77.27272727272727,16583.0,331660.0,376.8863636363636,0.25,0.72
44,77.27272727272727,16583.0,331660.0,376.8863636363636,0.25,0.71
20,75.0,16580.75,331615.0,829.0375,0.26,0.95
38,81.57894736842105,16563.5,331270.0,435.88157894736844,0.24,0.87
50,78.0,16554.25,331085.0,331.085,0.34,0.83
36,80.55555555555556,16534.75,330695.0,459.2986111111111,0.23,0.87
53,75.47169811320755,16504.0,330080.0,311.39622641509436,0.32,0.74
51,76.47058823529412,16474.0,329480.0,323.01960784313724,0.35,0.82
53,77.35849056603774,16432.5,328650.0,310.04716981132077,0.31,0.73
34,85.29411764705883,16425.5,328510.0,483.1029411764706,0.33,0.91
48,77.08333333333334,16389.75,327795.0,341.453125,0.29,0.74
50,76.0,16368.75,327375.0,327.375,0.34,0.82
54,75.92592592592592,16334.0,326680.0,302.48148148148147,0.32,0.73
48,77.08333333333334,16301.75,326035.0,339.6197916666667,0.28,0.72
48,77.08333333333334,16301.75,326035.0,339.6197916666667,0.28,0.71
54,77.77777777777779,16293.5,325870.0,301.73148148148147,0.35,0.75
54,77.77777777777779,16293.5,325870.0,301.73148148148147,0.35,0.76
20,85.0,16292.75,325855.0,814.6375,0.2,0.95
33,84.84848484848484,16273.5,325470.0,493.1363636363636,0.21,0.87
45,77.77777777777779,16270.25,325405.0,361.56111111111113,0.27,0.74
44,77.27272727272727,16269.5,325390.0,369.7613636363636,0.26,0.71
44,77.27272727272727,16269.5,325390.0,369.7613636363636,0.26,0.72
44,77.27272727272727,16269.5,325390.0,369.7613636363636,0.26,0.7
48,77.08333333333334,16227.0,324540.0,338.0625,0.28,0.7
49,77.55102040816327,16219.75,324395.0,331.015306122449,0.29,0.73
50,76.0,16211.5,324230.0,324.23,0.3,0.74
53,77.35849056603774,16198.5,323970.0,305.6320754716981,0.33,0.76
53,77.35849056603774,16198.5,323970.0,305.6320754716981,0.33,0.75
53,77.35849056603774,16188.25,323765.0,305.438679245283,0.34,0.76
53,77.35849056603774,16188.25,323765.0,305.438679245283,0.34,0.75
51,76.47058823529412,16184.25,323685.0,317.3382352941176,0.35,0.81
43,79.06976744186046,16106.5,322130.0,374.56976744186045,0.24,0.71
43,79.06976744186046,16106.5,322130.0,374.56976744186045,0.24,0.7
43,79.06976744186046,16106.5,322130.0,374.56976744186045,0.24,0.72
46,78.26086956521739,16100.25,322005.0,350.0054347826087,0.27,0.73
50,76.0,16079.0,321580.0,321.58,0.34,0.81
51,76.47058823529412,16041.5,320830.0,314.53921568627453,0.3,0.73
42,76.19047619047619,16041.5,320830.0,381.9404761904762,0.25,0.74
19,84.21052631578947,15972.75,319455.0,840.671052631579,0.19,0.95
32,84.375,15942.75,318855.0,498.2109375,0.2,0.87
20,75.0,15915.25,318305.0,795.7625,0.23,0.95
22,86.36363636363636,15889.25,317785.0,722.2386363636364,0.22,0.94
43,76.74418604651163,15871.5,317430.0,369.1046511627907,0.25,0.73
51,78.43137254901961,15844.5,316890.0,310.6764705882353,0.31,0.76
51,78.43137254901961,15844.5,316890.0,310.6764705882353,0.31,0.75
46,76.08695652173914,15760.25,315205.0,342.6141304347826,0.28,0.74
52,76.92307692307693,15746.0,314920.0,302.8076923076923,0.32,0.75
52,76.92307692307693,15746.0,314920.0,302.8076923076923,0.32,0.76
42,76.19047619047619,15728.0,314560.0,374.4761904761905,0.26,0.74
40,80.0,15718.5,314370.0,392.9625,0.22,0.71
40,80.0,15718.5,314370.0,392.9625,0.22,0.7
40,80.0,15718.5,314370.0,392.9625,0.22,0.72
31,83.87096774193549,15622.75,312455.0,503.9596774193548,0.19,0.87
35,85.71428571428571,15591.75,311835.0,445.47857142857146,0.31,0.9
47,76.59574468085107,15590.25,311805.0,331.7074468085106,0.28,0.73
50,78.0,15576.0,311520.0,311.52,0.33,0.83
42,78.57142857142857,15565.0,311300.0,370.5952380952381,0.24,0.74
43,76.74418604651163,15558.0,311160.0,361.8139534883721,0.26,0.73
34,85.29411764705883,15510.75,310215.0,456.1985294117647,0.32,0.91
21,76.19047619047619,15480.75,309615.0,737.1785714285714,0.31,0.95
49,77.55102040816327,15453.5,309070.0,315.3775510204082,0.3,0.75
49,77.55102040816327,15453.5,309070.0,315.3775510204082,0.3,0.76
43,83.72093023255815,15440.75,308815.0,359.08720930232556,0.31,0.86
34,85.29411764705883,15430.75,308615.0,453.84558823529414,0.3,0.9
19,89.47368421052632,15428.5,308570.0,812.0263157894736,0.18,0.95
36,83.33333333333334,15410.0,308200.0,428.05555555555554,0.2,0.72
36,83.33333333333334,15410.0,308200.0,428.05555555555554,0.2,0.71
36,83.33333333333334,15410.0,308200.0,428.05555555555554,0.2,0.7
42,78.57142857142857,15395.0,307900.0,366.54761904761904,0.24,0.73
50,76.0,15390.5,307810.0,307.81,0.33,0.82
