time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2026-01-02 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-02 09:30:00-05:00,buy,fill,1.0,NQ=F,stock,,0.0,,25478.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-07 09:30:00-05:00,sell,fill,1.0,NQ=F,stock,,0.0,,25831.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-21 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-21 09:30:00-05:00,buy,fill,1.0,NQ=F,stock,,0.0,,25149.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-27 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-27 09:30:00-05:00,sell,fill,1.0,NQ=F,stock,,0.0,,25861.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-02-11 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-02-11 09:30:00-05:00,buy,fill,1.0,NQ=F,stock,,0.0,,25259.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-02-23 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-02-23 09:30:00-05:00,sell,fill,1.0,NQ=F,stock,,0.0,,25033.75,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-03-09 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-03-09 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,24435.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-03-10 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-03-10 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,24981.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-03-13 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-03-13 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,24567.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-04-01 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-04-01 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,23889.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
