time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2023-05-10 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-05-10 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,13258.75,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-05-11 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-05-11 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,13410.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-05-24 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-05-24 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,13729.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-05-30 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-05-30 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,14437.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-06-08 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-06-08 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,14316.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-06-09 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-06-09 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,14517.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-06-22 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-06-22 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,15038.75,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-06-23 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-06-23 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,15236.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-06-27 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-06-27 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,14875.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-06-28 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-06-28 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,15088.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-07-10 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-07-10 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,15198.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-07-12 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-07-12 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,15258.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-07-17 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-07-17 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,15690.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-07-31 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-07-31 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,15850.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-08-03 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-08-03 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,15455.75,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-08-08 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-08-08 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,15495.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-08-10 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-08-10 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,15202.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-08-15 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-08-15 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,15279.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-08-16 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-08-16 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,15110.75,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-08-22 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-08-22 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,14974.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-08-23 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-08-23 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,14959.75,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-08-30 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-08-30 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,15427.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-09-13 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-09-13 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,15308.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-09-26 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-09-26 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,14949.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-09-27 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-09-27 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,14725.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-10-05 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-10-05 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,14903.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-10-19 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-10-19 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,15045.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-11-01 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-11-01 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,14460.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-11-10 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-11-10 09:30:00-05:00,buy,fill,3.0,NQ=F,stock,,0.0,,15254.75,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-11-13 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-11-13 09:30:00-05:00,sell,fill,3.0,NQ=F,stock,,0.0,,15586.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-11-30 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-11-30 09:30:00-05:00,buy,fill,3.0,NQ=F,stock,,0.0,,16040.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-12-04 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-12-04 09:30:00-05:00,sell,fill,3.0,NQ=F,stock,,0.0,,16022.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-12-07 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-12-07 09:30:00-05:00,buy,fill,3.0,NQ=F,stock,,0.0,,15814.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-12-08 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-12-08 09:30:00-05:00,sell,fill,3.0,NQ=F,stock,,0.0,,16017.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-12-18 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-12-18 09:30:00-05:00,buy,fill,3.0,NQ=F,stock,,0.0,,16820.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-12-20 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-12-20 09:30:00-05:00,sell,fill,3.0,NQ=F,stock,,0.0,,17024.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-12-21 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-12-21 09:30:00-05:00,buy,fill,3.0,NQ=F,stock,,0.0,,16790.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-12-22 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-12-22 09:30:00-05:00,sell,fill,3.0,NQ=F,stock,,0.0,,16956.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2023-12-29 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2023-12-29 09:30:00-05:00,buy,fill,3.0,NQ=F,stock,,0.0,,17090.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-09 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-09 09:30:00-05:00,sell,fill,3.0,NQ=F,stock,,0.0,,16788.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-23 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-23 09:30:00-05:00,buy,fill,3.0,NQ=F,stock,,0.0,,17461.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-30 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-30 09:30:00-05:00,sell,fill,3.0,NQ=F,stock,,0.0,,17711.75,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-02-01 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-02-01 09:30:00-05:00,buy,fill,3.0,NQ=F,stock,,0.0,,17273.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-02-05 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-02-05 09:30:00-05:00,sell,fill,3.0,NQ=F,stock,,0.0,,17696.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-02-20 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-02-20 09:30:00-05:00,buy,fill,3.0,NQ=F,stock,,0.0,,17729.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-02-23 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-02-23 09:30:00-05:00,sell,fill,3.0,NQ=F,stock,,0.0,,18023.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-03-11 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-03-11 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,18056.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-03-13 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-03-13 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,18218.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-03-18 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-03-18 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,18073.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-03-20 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-03-20 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,18274.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-03-27 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-03-27 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,18477.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-04-12 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-04-12 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,18486.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-04-15 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-04-15 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,18151.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-04-24 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-04-24 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,17682.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-05-02 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-05-02 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,17487.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-05-06 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-05-06 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,18047.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-05-17 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-05-17 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,18642.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-05-22 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-05-22 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,18798.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-06-21 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-06-21 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,19781.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-06-26 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-06-26 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,19973.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-07-01 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
