Exit Date,Reason,Contracts,Avg Entry,Exit Price,Profit %,Points,Dollars
2022-01-11,IBS Exit,3,15861.92,15824.5,-0.24,-112.25,-2245.0
2022-01-14,IBS Exit,1,15501.75,15616.75,0.74,115.0,2300.0
2022-01-24,IBS Exit,4,14853.31,14502.75,-2.36,-1402.25,-28045.0
2022-01-28,IBS Exit,2,14036.5,14430.25,2.81,787.5,15750.0
2022-02-08,IBS Exit,2,14732.5,14745.75,0.09,26.5,530.0
2022-02-15,IBS Exit,2,14476.12,14581.75,0.73,211.25,4225.0
2022-02-24,IBS Exit,3,13879.33,13911.0,0.23,95.0,1900.0
2022-03-09,IBS Exit,5,13671.05,13774.0,0.75,514.75,10295.0
2022-03-15,IBS Exit,2,13191.88,13443.25,1.91,502.75,10055.0
2022-03-24,IBS Exit,1,14463.75,14763.0,2.07,299.25,5985.0
2022-04-04,IBS Exit,1,14917.25,15159.5,1.62,242.25,4845.0
2022-04-25,IBS Exit,9,14070.64,13528.0,-3.86,-4883.75,-97675.0
2022-05-02,IBS Exit,2,12853.0,13051.25,1.54,396.5,7930.0
2022-05-17,IBS Exit,4,12337.69,12573.75,1.91,944.25,18885.0
2022-05-23,IBS Exit,1,11892.5,12056.0,1.37,163.5,3270.0
2022-06-02,IBS Exit,1,12548.0,12896.75,2.78,348.75,6975.0
2022-06-24,IBS Exit,7,12066.68,12132.75,0.55,462.5,9250.0
2022-07-01,IBS Exit,2,11877.62,11610.5,-2.25,-534.25,-10685.0
2022-07-14,IBS Exit,2,11840.62,11807.25,-0.28,-66.75,-1335.0
2022-07-19,IBS Exit,1,11916.25,12320.0,3.39,403.75,8075.0
2022-07-28,IBS Exit,2,12378.25,12924.25,4.41,1092.0,21840.0
2022-08-10,IBS Exit,2,13134.38,13381.0,1.88,493.25,9865.0
2022-08-12,IBS Exit,1,13346.75,13580.0,1.75,233.25,4665.0
2022-08-25,IBS Exit,3,13024.25,13144.75,0.93,361.5,7230.0
2022-09-01,IBS Exit,3,12408.33,12292.25,-0.94,-348.25,-6965.0
2022-09-09,IBS Exit,2,12075.25,12590.5,4.27,1030.5,20610.0
2022-09-14,IBS Exit,1,12127.0,12250.0,1.01,123.0,2460.0
2022-09-16,IBS Exit,1,11973.0,11960.75,-0.1,-12.25,-245.0
2022-10-04,IBS Exit,5,11368.45,11645.25,2.43,1384.0,27680.0
2022-10-17,IBS Exit,4,11050.31,11134.0,0.76,334.75,6695.0
2022-10-21,IBS Exit,2,11105.38,11378.0,2.45,545.25,10905.0
2022-10-28,IBS Exit,2,11284.88,11625.5,3.02,681.25,13625.0
2022-11-07,IBS Exit,3,10996.92,11014.0,0.16,51.25,1025.0
2022-11-10,IBS Exit,1,10842.75,11675.25,7.68,832.5,16650.0
2022-11-22,IBS Exit,3,11709.67,11739.25,0.25,88.75,1775.0
2022-11-30,IBS Exit,3,11643.08,12077.0,3.73,1301.75,26035.0
2022-12-12,IBS Exit,3,11644.25,11697.75,0.46,160.5,3210.0
2022-12-30,IBS Exit,7,11235.25,11041.75,-1.72,-1354.5,-27090.0
