Date,Action,Contracts,Price,Total Held,Avg Entry,P/L Pts,P/L USD,Reason
2026-01-02,BUY,1,25394.5,1,,,,
2026-01-06,SELL ALL,1,25831.25,0,25394.5,436.75,8735.0,IBS Exit
2026-01-20,BUY,1,25142.75,1,,,,
2026-01-21,SELL ALL,1,25509.5,0,25142.75,366.75,7335.0,IBS Exit
2026-01-30,BUY,1,25639.25,1,,,,
2026-02-02,SELL ALL,1,25873.25,0,25639.25,234.0,4680.0,IBS Exit
2026-02-05,BUY,1,24425.25,1,,,,
2026-02-06,SELL ALL,1,25107.75,0,24425.25,682.5,13650.0,IBS Exit
2026-02-10,BUY,1,25257.25,1,,,,
2026-02-12,BUY,1,24822.0,2,,,,
2026-02-20,SELL ALL,2,25077.5,0,25039.62,75.75,1515.0,IBS Exit
2026-03-06,BUY,1,24661.25,1,,,,
2026-03-09,SELL ALL,1,24958.0,0,24661.25,296.75,5935.0,IBS Exit
2026-03-11,BUY,1,24945.5,1,,,,
2026-03-12,BUY,1,24568.5,2,,,,
2026-03-13,BUY,1,24335.25,3,,,,
2026-03-16,SELL ALL,3,24654.75,0,24616.42,115.0,2300.0,IBS Exit
2026-03-18,BUY,1,24606.25,1,,,,
2026-03-19,SELL ALL,1,24617.0,0,24606.25,10.75,215.0,IBS Exit
2026-03-26,BUY,1,23822.0,1,,,,
2026-03-27,BUY,1,23254.25,2,,,,
2026-03-30,BUY,1,23106.25,3,,,,
2026-03-31,SELL ALL,3,23905.5,0,23394.17,1534.0,30680.0,IBS Exit
2026-04-03,BUY,1,24129.75,1,,,,
2026-04-06,SELL ALL,1,24349.75,0,24129.75,220.0,4400.0,IBS Exit
2026-04-29,BUY,1,27148.75,1,,,,
2026-04-30,SELL ALL,1,27598.5,0,27148.75,449.75,8995.0,IBS Exit
2026-05-07,BUY,1,28644.0,1,,,,
2026-05-08,SELL ALL,1,29284.5,0,28644.0,640.5,12810.0,IBS Exit
