trades,win_rate,total_pts,total_usd,avg_pts,entry,exit
38,78.94736842105263,51470.25,1029405.0,1354.4802631578948,0.35,0.95
38,78.94736842105263,49977.0,999540.0,1315.1842105263158,0.33,0.95
38,78.94736842105263,49451.75,989035.0,1301.3618421052631,0.34,0.95
37,78.37837837837837,47765.25,955305.0,1290.9527027027027,0.32,0.95
37,78.37837837837837,45384.25,907685.0,1226.6013513513512,0.31,0.95
43,79.06976744186046,44491.25,889825.0,1034.6802325581396,0.35,0.94
43,79.06976744186046,44114.5,882290.0,1025.9186046511627,0.33,0.94
43,79.06976744186046,42472.75,849455.0,987.7383720930233,0.34,0.94
42,78.57142857142857,41902.75,838055.0,997.6845238095239,0.32,0.94
35,77.14285714285715,41702.25,834045.0,1191.4928571428572,0.29,0.95
35,77.14285714285715,41139.0,822780.0,1175.4,0.3,0.95
42,78.57142857142857,39521.75,790435.0,940.9940476190476,0.31,0.94
35,77.14285714285715,39218.5,784370.0,1120.5285714285715,0.28,0.95
35,77.14285714285715,38356.75,767135.0,1095.9071428571428,0.27,0.95
35,77.14285714285715,38304.75,766095.0,1094.4214285714286,0.26,0.95
35,77.14285714285715,37680.25,753605.0,1076.5785714285714,0.25,0.95
62,83.87096774193549,36589.0,731780.0,590.1451612903226,0.35,0.9
40,77.5,36284.25,725685.0,907.10625,0.29,0.94
59,84.7457627118644,36012.25,720245.0,610.3771186440678,0.32,0.9
60,85.0,35991.25,719825.0,599.8541666666666,0.33,0.9
35,77.14285714285715,35983.5,719670.0,1028.1,0.24,0.95
40,77.5,35721.0,714420.0,893.025,0.3,0.94
61,83.60655737704919,35418.0,708360.0,580.6229508196722,0.34,0.9
55,83.63636363636363,35329.75,706595.0,642.3590909090909,0.35,0.92
35,80.0,35125.5,702510.0,1003.5857142857143,0.22,0.95
59,84.7457627118644,35063.25,701265.0,594.292372881356,0.35,0.91
55,85.45454545454545,35055.0,701100.0,637.3636363636364,0.33,0.92
64,84.375,34992.5,699850.0,546.7578125,0.35,0.89
35,77.14285714285715,34849.5,696990.0,995.7,0.23,0.95
54,85.18518518518519,34792.0,695840.0,644.2962962962963,0.32,0.92
59,84.7457627118644,34652.75,693055.0,587.3347457627119,0.31,0.9
57,85.96491228070175,34486.5,689730.0,605.0263157894736,0.32,0.91
58,86.20689655172413,34465.5,689310.0,594.2327586206897,0.33,0.91
72,81.94444444444444,34460.5,689210.0,478.61805555555554,0.35,0.88
62,85.48387096774194,34394.75,687895.0,554.7540322580645,0.33,0.89
61,85.24590163934425,34351.0,687020.0,563.1311475409836,0.32,0.89
58,84.48275862068965,33892.25,677845.0,584.3491379310345,0.34,0.91
69,82.6086956521739,33862.75,677255.0,490.7644927536232,0.33,0.88
63,84.12698412698413,33821.5,676430.0,536.8492063492064,0.34,0.89
68,82.35294117647058,33819.0,676380.0,497.3382352941176,0.32,0.88
40,77.5,33800.5,676010.0,845.0125,0.28,0.94
40,77.5,33779.5,675590.0,844.4875,0.26,0.94
55,83.63636363636363,33656.75,673135.0,611.9409090909091,0.34,0.92
40,77.5,33499.75,669995.0,837.49375,0.27,0.94
71,81.69014084507043,33289.5,665790.0,468.86619718309856,0.34,0.88
40,77.5,33155.0,663100.0,828.875,0.25,0.94
57,85.96491228070175,33127.0,662540.0,581.1754385964912,0.31,0.91
61,85.24590163934425,32991.5,659830.0,540.844262295082,0.31,0.89
54,85.18518518518519,32930.5,658610.0,609.824074074074,0.31,0.92
35,80.0,32807.25,656145.0,937.35,0.21,0.95
35,80.0,32759.5,655190.0,935.9857142857143,0.2,0.95
68,82.35294117647058,32459.5,649190.0,477.34558823529414,0.31,0.88
57,85.96491228070175,31944.5,638890.0,560.4298245614035,0.29,0.9
34,79.41176470588235,31570.25,631405.0,928.5367647058823,0.19,0.95
52,84.61538461538461,31498.0,629960.0,605.7307692307693,0.29,0.92
57,84.21052631578947,31478.5,629570.0,552.2543859649123,0.3,0.9
40,77.5,31461.0,629220.0,786.525,0.24,0.94
55,85.45454545454545,31371.5,627430.0,570.3909090909091,0.29,0.91
56,85.71428571428571,30644.0,612880.0,547.2142857142857,0.28,0.9
39,79.48717948717949,30614.0,612280.0,784.974358974359,0.22,0.94
40,77.5,30472.25,609445.0,761.80625,0.23,0.94
56,83.92857142857143,30450.25,609005.0,543.7544642857143,0.26,0.9
87,80.45977011494253,30400.0,608000.0,349.42528735632186,0.35,0.83
59,86.4406779661017,30283.25,605665.0,513.2754237288135,0.29,0.89
56,85.71428571428571,30170.5,603410.0,538.7589285714286,0.27,0.9
75,81.33333333333333,30074.0,601480.0,400.9866666666667,0.35,0.87
54,85.18518518518519,30071.0,601420.0,556.8703703703703,0.28,0.91
55,85.45454545454545,29952.75,599055.0,544.5954545454546,0.3,0.91
56,83.92857142857143,29950.25,599005.0,534.8258928571429,0.25,0.9
54,83.33333333333334,29877.25,597545.0,553.2824074074074,0.26,0.91
59,84.7457627118644,29817.25,596345.0,505.3771186440678,0.3,0.89
71,81.69014084507043,29740.0,594800.0,418.8732394366197,0.32,0.87
96,80.20833333333334,29697.25,593945.0,309.3463541666667,0.35,0.77
54,85.18518518518519,29597.5,591950.0,548.1018518518518,0.27,0.91
65,83.07692307692308,29571.75,591435.0,454.95,0.29,0.88
52,84.61538461538461,29484.25,589685.0,567.0048076923077,0.28,0.92
72,81.94444444444444,29476.25,589525.0,409.3923611111111,0.33,0.87
